Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,shrinkage,tol,solver_eigen,solver_lsqr,solver_svd
sa-heart_1498,0.7934782608695652,0.0041103363037109,0.0001492500305175,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.007358452134884e-05,0.0,0.0,1.0
sa-heart_1498,0.7934782608695652,0.0015127658843994,0.0001378059387207,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.228712119760294e-05,0.0,0.0,1.0
autoUniv-au6-400_1551,0.4,0.0018658638000488,0.0001215934753417,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0003256691110117,0.0,0.0,1.0
autoUniv-au6-400_1551,0.4,0.0014324188232421,0.0001204013824462,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8900613012265206e-05,0.0,0.0,1.0
autoUniv-au6-400_1551,0.3875,0.0013964176177978,0.0001163482666015,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2033419672027568,0.0007109950212023,0.0,1.0,0.0
autoUniv-au6-400_1551,0.3875,0.0015294551849365,0.0001161098480224,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.509590608300089e-05,0.0,0.0,1.0
autoUniv-au6-400_1551,0.3875,0.0014686584472656,0.000117540359497,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.751185531239196e-05,1.0,0.0,0.0
autoUniv-au6-400_1551,0.3875,0.001511812210083,0.0001170635223388,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.631706293235075e-05,0.0,1.0,0.0
autoUniv-au6-400_1551,0.375,0.0014028549194335,0.0001156330108642,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.000236826108161,1.0,0.0,0.0
autoUniv-au6-400_1551,0.375,0.0014235973358154,0.0001156330108642,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,5.448834973103543e-05,1.0,0.0,0.0
autoUniv-au6-400_1551,0.375,0.0015428066253662,0.0001194477081298,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6378359845710986,2.981974246853654e-05,0.0,1.0,0.0
autoUniv-au6-400_1551,0.375,0.0014348030090332,0.0001158714294433,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002441927816692,0.0,0.0,1.0
autoUniv-au6-400_1551,0.375,0.00144624710083,0.0001139640808105,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.962978447053529e-05,0.0,0.0,1.0
autoUniv-au6-400_1551,0.375,0.001875877380371,0.0001404285430908,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0004920228479348,0.0,0.0,1.0
autoUniv-au6-400_1551,0.375,0.0013895034790039,0.0001158714294433,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001253015265079,0.0,0.0,1.0
autoUniv-au6-400_1551,0.375,0.001429796218872,0.0001146793365478,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0008797373246375,0.0,1.0,0.0
autoUniv-au6-400_1551,0.375,0.0013699531555175,0.0001115798950195,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,5.609300283118522e-05,0.0,1.0,0.0
autoUniv-au6-400_1551,0.375,0.0015640258789062,0.0001182556152343,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.666137735917599e-05,0.0,0.0,1.0
autoUniv-au6-400_1551,0.375,0.0015285015106201,0.0001194477081298,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0001945835587097,0.0,1.0,0.0
