Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,reg_param,tol
sa-heart_1498,0.782608695652174,0.0007364749908447,0.0001564025878906,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.032274126743366,1.1033183557370735e-05
sa-heart_1498,0.782608695652174,0.0007381439208984,0.0001578330993652,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0109460965929205,0.0007891664947825
sa-heart_1498,0.782608695652174,0.0007462501525878,0.0001840591430664,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0621831134396228,2.0303440402889126e-05
sa-heart_1498,0.782608695652174,0.0007495880126953,0.000159740447998,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0209337766369426,0.0003664969250943
sa-heart_1498,0.782608695652174,0.0009808540344238,0.0004515647888183,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0110894399843456,3.60325678525344e-05
sa-heart_1498,0.782608695652174,0.0007307529449462,0.0001583099365234,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1074203747509767,0.000138512591066
sa-heart_1498,0.782608695652174,0.000720739364624,0.0001623630523681,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1865083910956015,0.0004480337219747
sa-heart_1498,0.782608695652174,0.0007598400115966,0.0001614093780517,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0225022753687058,5.0112708032443375e-05
sa-heart_1498,0.782608695652174,0.0007674694061279,0.0001568794250488,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0130290828293376,7.314927806586055e-05
sa-heart_1498,0.782608695652174,0.0008563995361328,0.0001697540283203,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.107982945590473,1.938967033952289e-05
sa-heart_1498,0.782608695652174,0.0007867813110351,0.000173807144165,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0044237949771258,6.939104185196058e-05
sa-heart_1498,0.7741935483870968,0.0034828186035156,0.0003244876861572,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0272249992587658,0.0004479277408901
sa-heart_1498,0.7741935483870968,0.0036036968231201,0.0003290176391601,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0363793881056423,0.0005754928522498
autoUniv-au6-400_1551,0.3875,0.0012063980102539,0.0002586841583251,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2520541630565342,0.0001850578925394
autoUniv-au6-400_1551,0.3875,0.0012178421020507,0.0002799034118652,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0432442253902998,8.620663957787588e-05
autoUniv-au6-400_1551,0.3875,0.0012540817260742,0.0002977848052978,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0760447119341343,2.59086733078654e-05
autoUniv-au6-400_1551,0.3875,0.0011882781982421,0.0002706050872802,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1482804033961206,8.133115221613101e-05
autoUniv-au6-400_1551,0.3875,0.0011603832244873,0.0002617835998535,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1865673269528323,0.0004104765893431
autoUniv-au6-400_1551,0.3875,0.0013794898986816,0.0002634525299072,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.010044037986573,4.16136485510027e-05
autoUniv-au6-400_1551,0.3875,0.0018272399902343,0.0003530979156494,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1403122238141457,0.0004007039384261
autoUniv-au6-400_1551,0.3875,0.0011978149414062,0.0002617835998535,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1401316939244354,1.0164371350505294e-05
autoUniv-au6-400_1551,0.3875,0.0011534690856933,0.0002741813659667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2106176738939384,4.968434604122538e-05
autoUniv-au6-400_1551,0.3875,0.0014786720275878,0.000303030014038,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1450787649048629,0.0009558284256254
autoUniv-au6-400_1551,0.3875,0.0012233257293701,0.0002598762512207,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138500887951716,0.00066374645784
autoUniv-au6-400_1551,0.3875,0.0012683868408203,0.0002608299255371,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0357753471926374,0.0001967447672997
autoUniv-au6-400_1551,0.3875,0.0013861656188964,0.0002939701080322,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0550572608738725,9.65201862953788e-05
autoUniv-au6-400_1551,0.3875,0.0013463497161865,0.0002808570861816,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0120185486812443,0.0002612471827269
autoUniv-au6-400_1551,0.3875,0.0011546611785888,0.0005476474761962,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0128663731161612,0.0009156193631997
autoUniv-au6-400_1551,0.3875,0.00124192237854,0.0002582073211669,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.155383176048344,1.14948969422124e-05
