Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,fit_intercept,max_iter,tol,random_state,loss_hinge,loss_squared_hinge
autoUniv-au6-1000_1555,0.225,0.013953685760498,0.0003247261047363,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9760013507267776,0.0,840.0,0.0019144510104817,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.22,0.245924711227417,0.0005974769592285,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1686486086072925,0.0,702.0,0.0002992193487823,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.22,0.2474315166473388,0.0006079673767089,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0824901170440853,0.0,860.0,0.0097590350531788,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.22,0.056899070739746,0.0003035068511962,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.392230166605992,0.0,1000.0,0.0001013464206091,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.22,0.0569593906402587,0.0003011226654052,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9276551975560178,1.0,946.0,0.0008545830900609,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.215,0.0332028865814209,0.0003395080566406,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4527573798596254,0.0,1051.0,0.0002875105075936,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.215,0.0098927021026611,0.0002145767211914,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1887563433687206,1.0,900.0,0.0005116072867448,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.000988483428955,0.000115156173706,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5219912659151968,1.0,581.0,0.0053235830900015,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0013904571533203,0.000171422958374,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.172180320687452,1.0,710.0,0.0005181402213553,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0021553039550781,0.0008814334869384,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6056479226383068,1.0,684.0,0.0002679899683888,0.0,0.0,1.0
