Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,degree,gamma,coef0,shrinking,tol,random_state,kernel_linear,kernel_poly,kernel_rbf,kernel_sigmoid
autoUniv-au6-1000_1555,0.32,0.0526187419891357,0.0106127262115478,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.612560684354484,4.0,-1.0,-0.3070651974689096,1.0,0.0001058981615666,0.0,0.0,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.32,0.2763793468475342,0.0854513645172119,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3325678004730571,3.0,-2.0,-0.3937399023505095,1.0,0.0018023765940515,0.0,0.0,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0010130405426025,0.0001535415649414,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2202754831549236,2.0,-1.0,0.399547709188409,0.0,0.0051796923848975,0.0,0.0,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0010936260223388,0.0001883506774902,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4224981654685332,2.0,-2.0,0.5163212846204372,0.0,0.0003927106865195,0.0,0.0,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0010783672332763,0.0001564025878906,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.981875210784636,5.0,-2.0,-0.4831303039333646,1.0,0.0051720363971289,0.0,0.0,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0009372234344482,0.0001349449157714,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.402993028459775,2.0,-1.0,0.2727646793455072,0.0,0.0015024429942518,0.0,0.0,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0018622875213623,0.0008354187011718,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.2697943762227215,3.0,-1.0,0.0342795936647633,0.0,0.0025045219079834,0.0,0.0,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0008792877197265,0.0001349449157714,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0565743007233404,2.0,-1.0,-0.1294973334010387,1.0,0.0032452877004999,0.0,0.0,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0009665489196777,0.0001578330993652,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7853971677441277,3.0,-1.0,-0.0807701154426481,0.0,0.0043263132381252,0.0,0.0,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0010950565338134,0.0001554489135742,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.97888614171168,2.0,-2.0,0.4023214529093289,1.0,0.0002872092914161,0.0,0.0,0.0,1.0,0.0
