task_id,predictive_accuracy,classifier__bootstrap,classifier__criterion,classifier__max_features,classifier__min_samples_leaf,classifier__min_samples_split,imputation__strategy
37.0,0.7799479166666667,False,gini,0.38732994477454996,12,12,median
37.0,0.7799479166666667,True,entropy,0.5070872562761594,2,18,median
37.0,0.7799479166666667,False,gini,0.2617229904507534,4,6,median
37.0,0.7799479166666667,False,gini,0.44200575703391864,13,10,most_frequent
37.0,0.7799479166666667,False,gini,0.3688453358560778,8,9,median
37.0,0.7799479166666667,True,entropy,0.862710104665634,1,10,median
37.0,0.7799479166666667,True,gini,0.868868744212218,1,5,mean
37.0,0.7786458333333333,True,gini,0.8744663081187813,3,10,most_frequent
37.0,0.7786458333333333,True,entropy,0.8478092955642108,6,13,mean
37.0,0.7786458333333333,False,gini,0.49226023410887887,6,4,median
37.0,0.7786458333333333,False,gini,0.3027150618957999,15,17,most_frequent
37.0,0.7786458333333333,True,entropy,0.40147718556498047,2,11,median
37.0,0.7786458333333333,True,gini,0.6861518588066875,6,12,most_frequent
43.0,0.9528363399261031,False,entropy,0.275326367524676,2,20,median
43.0,0.9521843077591828,False,entropy,0.28141902304617905,3,12,most_frequent
43.0,0.9519669637035427,False,entropy,0.466732381689681,1,15,most_frequent
43.0,0.9519669637035427,True,entropy,0.22544509349075936,1,6,mean
43.0,0.9515322755922625,False,entropy,0.16121367715723098,5,11,mean
43.0,0.9513149315366225,False,gini,0.45176454857729276,1,4,mean
43.0,0.9513149315366225,True,entropy,0.29362827663508284,2,2,mean
43.0,0.9510975874809824,False,entropy,0.2023705364824264,5,6,median
43.0,0.9510975874809824,False,gini,0.20519047566994902,1,12,median
43.0,0.9508802434253423,True,gini,0.2189487077230739,1,8,median
43.0,0.9508802434253423,False,entropy,0.4474445117433836,1,16,mean
43.0,0.9508802434253423,False,entropy,0.1410438354028,4,8,most_frequent
43.0,0.9508802434253423,False,gini,0.28186969430382885,1,6,mean
43.0,0.9506628993697022,True,entropy,0.7882174005378482,1,7,mean
43.0,0.9506628993697022,False,gini,0.3642096258314872,1,5,most_frequent
43.0,0.9506628993697022,False,entropy,0.44154632382101977,3,10,median
43.0,0.9506628993697022,False,gini,0.3679961651833512,1,7,mean
43.0,0.9504455553140622,False,entropy,0.12122301175547952,5,11,most_frequent
43.0,0.9504455553140622,True,entropy,0.3551597020416496,1,9,mean
43.0,0.9502282112584222,True,entropy,0.44363375921298753,2,3,mean
45.0,0.9605015673981191,False,entropy,0.36232482773533337,3,7,mean
45.0,0.9601880877742947,False,gini,0.33599398360760535,1,13,mean
45.0,0.9601880877742947,True,entropy,0.17655203005724296,6,20,mean
45.0,0.9601880877742947,False,entropy,0.17787207770276334,6,20,most_frequent
45.0,0.9601880877742947,False,gini,0.1210260782314852,14,14,mean
45.0,0.9601880877742947,False,entropy,0.12612463707353447,11,13,median
45.0,0.9598746081504701,False,entropy,0.16904496218490764,11,3,mean
45.0,0.9598746081504701,True,entropy,0.22262132817963956,1,13,mean
45.0,0.9598746081504701,True,gini,0.1701926213753665,3,6,mean
45.0,0.9598746081504701,True,entropy,0.2787811513455088,1,3,mean
45.0,0.9598746081504701,False,entropy,0.363192903976134,3,9,most_frequent
45.0,0.9598746081504701,False,gini,0.25950856052234483,5,5,median
45.0,0.9598746081504701,False,gini,0.11179821083513036,10,18,most_frequent
45.0,0.9598746081504701,True,entropy,0.14836470727722945,3,16,most_frequent
45.0,0.9598746081504701,True,entropy,0.1733698020225079,6,8,mean
45.0,0.9595611285266458,False,entropy,0.12660621378217396,17,19,mean
45.0,0.9595611285266458,True,gini,0.2365426180260909,1,18,median
45.0,0.9595611285266458,False,entropy,0.38813745176602055,3,2,mean
45.0,0.9595611285266458,True,entropy,0.16648827843379632,5,2,median
45.0,0.9595611285266458,False,gini,0.31293200142318445,1,3,mean
49.0,0.9916492693110648,False,entropy,0.2571463698912948,1,8,most_frequent
49.0,0.9916492693110648,True,gini,0.2987989437160836,1,4,most_frequent
49.0,0.9916492693110648,True,gini,0.7541779197434595,2,5,most_frequent
49.0,0.9916492693110648,True,entropy,0.7545297571712245,3,3,median
49.0,0.9916492693110648,False,entropy,0.35077641490641764,2,4,median
49.0,0.9906054279749478,False,entropy,0.35497438050429675,3,2,median
49.0,0.9906054279749478,True,entropy,0.4253571315638145,1,9,mean
49.0,0.9906054279749478,True,entropy,0.6265576883353509,2,4,median
49.0,0.9906054279749478,True,gini,0.3418834883014352,2,4,median
49.0,0.9906054279749478,True,gini,0.28428706729353453,1,2,median
49.0,0.9906054279749478,False,entropy,0.3471675105886576,3,10,median
49.0,0.9906054279749478,True,gini,0.5071673166548193,3,2,mean
49.0,0.9906054279749478,False,gini,0.24662454316504814,1,10,median
49.0,0.9906054279749478,True,entropy,0.4921459636397667,3,4,most_frequent
49.0,0.9906054279749478,True,entropy,0.6529061877613402,1,7,mean
49.0,0.9906054279749478,True,entropy,0.5387838597171043,4,3,median
49.0,0.9906054279749478,True,entropy,0.48419900060599985,2,4,most_frequent
49.0,0.9906054279749478,True,gini,0.5271058374448092,3,3,median
49.0,0.9906054279749478,True,gini,0.7313991950631933,2,4,most_frequent
49.0,0.9906054279749478,True,entropy,0.6526346590483804,2,3,mean
53.0,0.7588652482269503,False,entropy,0.4145446320384396,1,5,median
53.0,0.7588652482269503,False,entropy,0.45003830572007153,1,2,median
53.0,0.7588652482269503,False,entropy,0.443833112568932,2,2,median
53.0,0.7588652482269503,False,entropy,0.37994590160064856,2,5,median
53.0,0.7576832151300237,False,gini,0.2966090384154466,1,10,mean
53.0,0.7576832151300237,False,entropy,0.6058407794073992,4,6,most_frequent
53.0,0.7576832151300237,False,entropy,0.43987746809931294,1,4,mean
53.0,0.7576832151300237,False,entropy,0.45423009112922486,1,7,mean
53.0,0.7565011820330969,False,entropy,0.4801687954439252,1,8,most_frequent
53.0,0.7565011820330969,False,entropy,0.3188269062875684,3,5,most_frequent
53.0,0.7565011820330969,False,entropy,0.33475237772537825,3,8,mean
53.0,0.7565011820330969,False,entropy,0.15277634223695122,2,2,mean
53.0,0.7553191489361702,False,entropy,0.32857215423237696,1,16,most_frequent
53.0,0.7553191489361702,False,entropy,0.49260436061875734,3,10,most_frequent
53.0,0.7553191489361702,True,gini,0.4898270092529525,1,9,most_frequent
53.0,0.7553191489361702,True,entropy,0.5537966907651378,2,15,median
53.0,0.7553191489361702,False,gini,0.5376133108570409,1,6,most_frequent
53.0,0.7553191489361702,False,gini,0.35484647467714325,2,9,most_frequent
53.0,0.7553191489361702,False,entropy,0.4311251949980176,2,6,median
53.0,0.7541371158392436,False,entropy,0.7208440395829323,4,12,median
219.0,0.9300847457627118,False,gini,0.6499249535818391,1,9,median
219.0,0.929930261299435,False,gini,0.5093052885122076,1,6,median
219.0,0.9291799081920904,False,entropy,0.8083170203125721,5,11,most_frequent
219.0,0.9288709392655368,False,entropy,0.5239382923066958,2,9,most_frequent
219.0,0.9284516242937854,False,entropy,0.7039472294382693,5,12,median
219.0,0.9268185028248588,False,entropy,0.7604823632746607,6,6,median
219.0,0.9264212570621468,False,gini,0.7540367606713064,4,5,most_frequent
219.0,0.9264212570621468,False,gini,0.8653848463673477,1,4,most_frequent
219.0,0.9264212570621468,False,entropy,0.799512412774438,6,4,mean
219.0,0.9263771186440678,False,entropy,0.7549938597641868,6,6,most_frequent
219.0,0.926222634180791,False,entropy,0.8514361884793803,6,10,most_frequent
219.0,0.925979872881356,False,entropy,0.6941162821615792,6,5,median
219.0,0.9259578036723164,False,entropy,0.8838387265462729,5,4,median
219.0,0.9254060734463277,False,gini,0.6791034578291433,4,9,median
219.0,0.9248764124293786,False,gini,0.5266429921201475,3,3,median
219.0,0.9243908898305085,False,gini,0.4479054689512386,2,6,most_frequent
219.0,0.9243026129943503,True,entropy,0.7623248249577771,2,9,most_frequent
219.0,0.9240157132768361,False,gini,0.8207628481736873,5,6,median
219.0,0.9239936440677967,False,entropy,0.5790764096250505,4,16,most_frequent
219.0,0.9237288135593221,False,entropy,0.6468697132131345,7,5,median
2074.0,0.9189735614307932,False,entropy,0.6024736149474776,1,3,mean
2074.0,0.9189735614307932,False,gini,0.6309633107464813,2,6,median
2074.0,0.9183514774494558,False,gini,0.2783225801772825,2,12,mean
2074.0,0.9181959564541213,False,entropy,0.3171450222838617,3,6,mean
2074.0,0.9177293934681182,False,gini,0.40875256375418656,5,4,median
