task_id,predictive_accuracy,classifier__algorithm,classifier__base_estimator__max_depth,classifier__learning_rate,classifier__n_estimators,imputation__strategy
16.0,0.9695,SAMME,10,0.5253769001634362,316,mean
16.0,0.9690000000000001,SAMME,8,0.5923669501569594,228,median
16.0,0.9690000000000001,SAMME,9,0.5701884615600528,370,most_frequent
16.0,0.9690000000000001,SAMME.R,10,0.8290215510639779,446,mean
16.0,0.9684999999999999,SAMME,9,0.48689173031931426,186,mean
16.0,0.9684999999999999,SAMME,6,0.9658029993084444,278,median
16.0,0.9684999999999999,SAMME,10,1.4859631114202492,295,median
16.0,0.9684999999999999,SAMME.R,7,0.5744881750102044,278,most_frequent
16.0,0.9684999999999999,SAMME,8,0.3506845958902976,285,mean
16.0,0.968,SAMME,10,1.6679459095949283,263,mean
16.0,0.968,SAMME.R,9,1.0913887869837295,382,mean
16.0,0.968,SAMME,10,0.386626543362605,323,mean
18.0,0.718,SAMME,6,0.024627905519784953,134,mean
18.0,0.718,SAMME.R,5,0.9796376303113002,456,mean
18.0,0.7175,SAMME,4,0.08847997188154906,76,median
18.0,0.7175,SAMME,7,0.01091073453944594,50,most_frequent
18.0,0.7170000000000001,SAMME,6,0.015353680880406435,120,most_frequent
18.0,0.7165,SAMME,4,0.15617907556790983,152,most_frequent
18.0,0.7165,SAMME.R,7,1.3818096649602476,376,most_frequent
18.0,0.7165,SAMME.R,9,1.9036754518458963,134,mean
18.0,0.716,SAMME.R,8,1.713307557549251,482,mean
18.0,0.7155,SAMME.R,6,0.8653993666355088,381,most_frequent
18.0,0.715,SAMME,4,0.011221267498501901,233,mean
18.0,0.715,SAMME,4,0.04637350215973177,53,most_frequent
18.0,0.715,SAMME,5,0.04684886847425965,376,mean
18.0,0.7145,SAMME.R,10,1.9903549480734384,464,most_frequent
18.0,0.7145,SAMME.R,8,1.8334922151719932,319,median
18.0,0.7140000000000001,SAMME,5,0.07768369034091681,365,mean
18.0,0.7134999999999999,SAMME.R,9,1.0407594359406942,98,median
18.0,0.7134999999999999,SAMME,4,0.06468188311957444,489,mean
18.0,0.713,SAMME,4,0.025121094897880253,141,median
18.0,0.713,SAMME,4,0.0358506739229234,285,median
22.0,0.7995,SAMME.R,10,1.8152709868379677,144,mean
22.0,0.7995,SAMME,5,0.24641763189833732,418,mean
22.0,0.7995,SAMME,10,0.772548885971076,191,median
22.0,0.799,SAMME,5,0.6516598816326757,321,median
22.0,0.7985,SAMME,10,0.47634614370229017,452,most_frequent
22.0,0.7985,SAMME,3,0.945018910571315,386,mean
22.0,0.7979999999999999,SAMME,4,0.7449549442893028,133,median
22.0,0.7979999999999999,SAMME,5,0.4624967215146771,146,most_frequent
22.0,0.7979999999999999,SAMME,7,0.8351647160847738,206,median
22.0,0.7979999999999999,SAMME,10,1.2633260298744227,441,most_frequent
22.0,0.7975,SAMME,5,1.6308089943628392,351,median
22.0,0.7975,SAMME.R,10,1.9703822619494382,383,most_frequent
22.0,0.7975,SAMME,4,0.2762318939779034,292,median
22.0,0.7965000000000001,SAMME,6,1.0709088445682842,434,most_frequent
22.0,0.7965000000000001,SAMME,4,1.7427185450494402,433,mean
22.0,0.7965000000000001,SAMME,3,1.9666903555895323,343,median
22.0,0.7959999999999999,SAMME,9,1.5959664653070151,296,mean
22.0,0.7955,SAMME,4,1.6655602691110165,137,median
22.0,0.795,SAMME,5,0.38985721857995076,200,most_frequent
22.0,0.795,SAMME,6,1.0981040629564658,423,median
23.0,0.5621181262729125,SAMME,5,0.015764077975515656,128,most_frequent
23.0,0.5621181262729125,SAMME.R,1,0.029290408246212454,337,most_frequent
23.0,0.5621181262729125,SAMME.R,1,0.07034675140748978,103,mean
23.0,0.5607603530210455,SAMME,5,0.01600941198955073,313,most_frequent
23.0,0.5607603530210455,SAMME,4,0.1689461804829682,146,median
23.0,0.5607603530210455,SAMME,5,0.05383644987800712,78,most_frequent
23.0,0.5607603530210455,SAMME.R,3,0.022041711207662146,63,median
23.0,0.560081466395112,SAMME.R,1,0.023163826160062597,417,most_frequent
23.0,0.560081466395112,SAMME.R,1,0.05672641897546644,222,mean
23.0,0.560081466395112,SAMME,4,0.14156226677234476,174,median
23.0,0.560081466395112,SAMME,6,0.011030654310760717,253,median
23.0,0.5594025797691785,SAMME.R,3,0.011882606092298579,489,median
23.0,0.5587236931432451,SAMME,4,0.048369594604672876,247,mean
23.0,0.5587236931432451,SAMME,5,0.029943932483627304,498,median
23.0,0.5587236931432451,SAMME,5,0.015878583788511598,378,most_frequent
23.0,0.5587236931432451,SAMME.R,1,0.017831136173534105,436,median
23.0,0.5587236931432451,SAMME.R,1,0.04160321419072358,410,mean
23.0,0.5587236931432451,SAMME,4,0.17058864130810159,403,median
23.0,0.5580448065173116,SAMME,6,0.029677709520918496,60,median
23.0,0.5580448065173116,SAMME,6,0.015643373980409058,493,median
28.0,0.9871886120996441,SAMME,7,1.1329503105132326,293,median
28.0,0.9871886120996441,SAMME,9,1.0576666545387818,99,mean
28.0,0.9870106761565836,SAMME,8,1.883532787978551,477,most_frequent
