task_id,classifier__C,classifier__coef0,classifier__degree,classifier__gamma,classifier__tol,classifier__kernel_0.0,classifier__kernel_1.0,classifier__kernel_2.0,classifier__shrinking_0.0,imputation__strategy_0.0,imputation__strategy_1.0,imputation__strategy_2.0,accuracy
3,-0.9465303014631218,0.7577069904747672,0.0159561795056526,-0.0906371655361144,-0.84342702471222,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8295824133889579
3,1.1116236411392793,0.8728426894049658,1.4329031380017934,-0.0240934002259999,0.7373079967193173,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8073905141325668
3,0.5883582737105291,1.222943263492198,-0.6925172997424176,-0.3792584104544725,-0.7030223956206634,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8002220915582888
3,1.0319139164276694,-1.0521067713975552,1.4329031380017934,0.1161610805764781,-1.5875387333310509,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8045794838660381
3,0.3588944159887099,0.2263004702844141,0.7244296587537228,-0.4570669309441574,1.5585092307433994,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8450214313494347
3,1.7394782270440543,-0.2267107628621302,0.0159561795056526,-0.4814460668528453,1.033595433928675,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7693609121871059
3,1.027565862316457,-0.3995009699520736,0.0159561795056526,-0.6099595407333779,-1.371777528751924,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8609229709780698
3,0.7027738514166093,1.673819220090229,1.4329031380017934,-0.7105279040313439,0.8488116005643095,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8153480503782554
3,0.0224089163453934,-1.4812451937249986,1.4329031380017934,0.6181377441463445,-0.6693481364788474,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8869024983110522
3,1.3470875595360234,0.936140702508453,0.0159561795056526,-0.5552487931375062,1.0475821785726311,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8590123352913479
3,0.827821089454041,0.0260676233171586,-1.400990778990488,-0.38913659868783,-1.2659989605584128,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9271694801333438
