Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,alpha,binarize,fit_prior
analcatdata_marketing_986,4,0.6805555555555556,0.0018026828765869,0.00032639503479,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1407188869119796,0.0549098338254089,True
analcatdata_marketing_986,4,0.6805555555555556,0.0016462802886962,0.0004112720489501,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.2421210239633362,0.0,True
analcatdata_marketing_986,4,0.6805555555555556,0.0017652511596679,0.000333547592163,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.786261760608764,0.3596655476664752,False
analcatdata_marketing_986,4,0.6805555555555556,0.0013213157653808,0.0002768039703369,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.8172506855870028,0.0,False
analcatdata_marketing_986,4,0.6805555555555556,0.0020596981048583,0.0004980564117431,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6.159195283099563,0.0,False
analcatdata_marketing_986,0,0.6712328767123288,0.0018308162689208,0.0003449916839599,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1718361359574599,0.0,True
analcatdata_marketing_986,0,0.6712328767123288,0.0018084049224853,0.0008711814880371,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.559717734130537,0.0,True
analcatdata_marketing_986,0,0.6712328767123288,0.0018510818481445,0.0003485679626464,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.262309142610942,0.0,True
analcatdata_marketing_986,0,0.6575342465753424,0.0015144348144531,0.0003132820129394,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1055746748546229,0.0,False
analcatdata_marketing_986,0,0.6575342465753424,0.0017750263214111,0.0003583431243896,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9.8820234038889,0.0,True
analcatdata_marketing_986,0,0.6575342465753424,0.0014820098876953,0.0003125667572021,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3648780774145121,0.2184601783231667,True
analcatdata_marketing_986,0,0.6575342465753424,0.0022897720336914,0.0003550052642822,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.167898301070658,0.2700890312540819,True
analcatdata_marketing_986,0,0.6575342465753424,0.0015866756439208,0.0003397464752197,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.225613263865166,0.0,True
analcatdata_marketing_986,0,0.6575342465753424,0.0014920234680175,0.0002980232238769,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.446961795218269,0.2140870226850174,False
analcatdata_marketing_986,0,0.6575342465753424,0.0014350414276123,0.0003330707550048,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.427912745900549,0.2359353919374455,False
analcatdata_marketing_986,0,0.6575342465753424,0.0014264583587646,0.0002927780151367,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4368801723494125,0.0,False
analcatdata_marketing_986,0,0.6575342465753424,0.0013318061828613,0.0002639293670654,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1903219332864605,0.4661780248345367,True
