Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,fit_intercept,max_iter,tol,loss,random_state
analcatdata_creditscore_461,4,1.0,0.0013904571533203,0.000171422958374,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.172180320687452,True,710,0.0005181402213553,squared_hinge,0
analcatdata_creditscore_461,0,1.0,0.0021553039550781,0.0008814334869384,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6056479226383068,True,684,0.0002679899683888,squared_hinge,0
analcatdata_creditscore_461,1,1.0,0.0018048286437988,0.0008823871612548,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2343088137834838,True,762,0.0005416536422399,hinge,0
analcatdata_creditscore_461,0,1.0,0.0011043548583984,0.0001204013824462,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5.983388292433087,False,1122,0.0004364281095917,squared_hinge,0
analcatdata_creditscore_461,3,1.0,0.0018045902252197,0.0008578300476074,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.178826169552295,True,881,0.0010370912725121,hinge,0
analcatdata_creditscore_461,4,1.0,0.0018894672393798,0.0008230209350585,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.09010319800078,True,721,0.0063061510718607,squared_hinge,0
analcatdata_creditscore_461,0,1.0,0.0010828971862792,0.000117540359497,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0901777649432125,False,973,0.0024693456027725,hinge,0
analcatdata_creditscore_461,4,1.0,0.00103759765625,0.000115156173706,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.3317408146064131,True,1087,0.0050150885912564,squared_hinge,0
analcatdata_creditscore_461,1,1.0,0.0013442039489746,0.0001552104949951,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4046264513660826,True,1077,0.0004002650913191,squared_hinge,0
analcatdata_creditscore_461,0,1.0,0.0011062622070312,0.0002329349517822,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4717792440911459,True,1722,0.0001145990600414,hinge,0
analcatdata_creditscore_461,3,1.0,0.000974416732788,0.0001132488250732,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0727518762851374,True,822,0.0005293302870547,squared_hinge,0
analcatdata_creditscore_461,3,1.0,0.0010693073272705,0.0001177787780761,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.2106307613148786,False,1112,0.0025946074068771,hinge,0
analcatdata_creditscore_461,4,1.0,0.0010263919830322,0.0001156330108642,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.406306455426908,True,1320,0.000356330729428,squared_hinge,0
analcatdata_creditscore_461,1,1.0,0.0011193752288818,0.0001225471496582,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.3447387685411867,True,1469,0.0003573505596813,hinge,0
analcatdata_creditscore_461,0,1.0,0.0010905265808105,0.0001180171966552,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1239806713476299,True,925,0.0001534188679087,hinge,0
analcatdata_creditscore_461,1,1.0,0.0010526180267333,0.000117540359497,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.3284745417482481,False,460,0.0002607024013141,squared_hinge,0
analcatdata_creditscore_461,3,1.0,0.0017955303192138,0.0001523494720458,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.3983754658156472,True,908,0.0029237151303157,hinge,0
analcatdata_creditscore_461,0,1.0,0.001133918762207,0.0001168251037597,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1048514033367184,False,1106,0.0010361823254933,hinge,0
