Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,var_smoothing
autoUniv-au6-400_1551,3,0.4,0.0014982223510742,0.0002951622009277,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.6399070595989585e-09
autoUniv-au6-400_1551,3,0.3875,0.0013141632080078,0.0002989768981933,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.159638252737728e-11
autoUniv-au6-400_1551,3,0.3875,0.001380443572998,0.0003581047058105,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.6758362108090774e-11
autoUniv-au6-400_1551,3,0.3875,0.0013313293457031,0.000317096710205,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.558821744258178e-09
autoUniv-au6-400_1551,3,0.3875,0.0014176368713378,0.0002946853637695,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.88084509376513e-08
autoUniv-au6-400_1551,3,0.3875,0.001408576965332,0.0002954006195068,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2361030148914123e-09
autoUniv-au6-400_1551,3,0.3875,0.0014395713806152,0.0003049373626708,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.903816802827115e-10
autoUniv-au6-400_1551,3,0.3875,0.0013999938964843,0.0003063678741455,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0550697437181157e-09
autoUniv-au6-400_1551,3,0.3875,0.0013420581817626,0.0002882480621337,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.500432620169801e-10
autoUniv-au6-400_1551,3,0.3875,0.001396894454956,0.0003261566162109,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.6942501877117765e-11
autoUniv-au6-400_1551,3,0.3875,0.0013463497161865,0.0003092288970947,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.220143938509705e-09
autoUniv-au6-400_1551,3,0.3875,0.0015637874603271,0.0003292560577392,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.3556658431233343e-09
autoUniv-au6-400_1551,3,0.3875,0.0014810562133789,0.0003004074096679,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.956320844837798e-10
autoUniv-au6-400_1551,3,0.3875,0.0014619827270507,0.000298261642456,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7320244091465543e-09
autoUniv-au6-400_1551,3,0.3875,0.0013887882232666,0.0002903938293457,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.223756253888825e-11
autoUniv-au6-400_1551,3,0.3875,0.0013020038604736,0.0002861022949218,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.150280253250732e-10
autoUniv-au6-400_1551,3,0.3875,0.0013103485107421,0.0002908706665039,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.088736100158034e-09
analcatdata_marketing_986,4,0.6805555555555556,0.0008587837219238,0.000154972076416,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.031086335501347e-11
analcatdata_marketing_986,4,0.6805555555555556,0.0009300708770751,0.0001673698425292,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.907870890511185e-09
analcatdata_marketing_986,4,0.6805555555555556,0.0009596347808837,0.0001552104949951,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2135108044941704e-09
analcatdata_marketing_986,4,0.6805555555555556,0.0008707046508789,0.0001506805419921,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7978655552591213e-08
analcatdata_marketing_986,4,0.6805555555555556,0.0008399486541748,0.000150442123413,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4487604976019783e-08
analcatdata_marketing_986,4,0.6805555555555556,0.0008809566497802,0.0002260208129882,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.507540298427571e-10
analcatdata_marketing_986,4,0.6805555555555556,0.000845193862915,0.0001544952392578,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.051491707889847e-11
analcatdata_marketing_986,4,0.6805555555555556,0.0008456707000732,0.0001499652862548,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.842338703783993e-09
analcatdata_marketing_986,4,0.6805555555555556,0.0008738040924072,0.0002295970916748,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.728381862173483e-10
analcatdata_marketing_986,4,0.6805555555555556,0.0008506774902343,0.0001490116119384,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.3906166163516798e-09
analcatdata_marketing_986,4,0.6805555555555556,0.0008301734924316,0.0001509189605712,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.6857226431871944e-11
analcatdata_marketing_986,4,0.6805555555555556,0.0009791851043701,0.0001711845397949,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.359974319516393e-09
analcatdata_marketing_986,4,0.6805555555555556,0.0008752346038818,0.0001552104949951,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1203402685538907e-10
analcatdata_marketing_986,4,0.6805555555555556,0.0008656978607177,0.0001497268676757,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.1714958258296202e-10
analcatdata_marketing_986,4,0.6805555555555556,0.0009548664093017,0.0001666545867919,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.311172860562624e-08
analcatdata_marketing_986,0,0.6712328767123288,0.0008735656738281,0.0001780986785888,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.366888479758876e-10
analcatdata_marketing_986,0,0.6712328767123288,0.000823974609375,0.0001583099365234,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.154107974804193e-09
analcatdata_marketing_986,0,0.6712328767123288,0.0008711814880371,0.0001871585845947,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.242725167991528e-09
analcatdata_marketing_986,0,0.6712328767123288,0.0008342266082763,0.000150442123413,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6134500473116757e-11
analcatdata_marketing_986,0,0.6712328767123288,0.0007941722869873,0.0001535415649414,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.810929348955846e-09
badges2_1121,3,1.0,0.0008177757263183,0.0001420974731445,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.9617190692147536e-10
badges2_1121,2,1.0,0.0008895397186279,0.0001511573791503,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.5694887129077742e-08
badges2_1121,0,1.0,0.0018355846405029,0.0009198188781738,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.6950270617967493e-09
badges2_1121,1,1.0,0.0017037391662597,0.0009393692016601,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8550941667816587e-10
badges2_1121,2,1.0,0.0019311904907226,0.0008974075317382,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.661778061864349e-10
badges2_1121,3,1.0,0.0017039775848388,0.0008652210235595,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.433920028547868e-09
badges2_1121,4,1.0,0.0016472339630126,0.0008635520935058,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5857592759318344e-09
badges2_1121,0,1.0,0.0008556842803955,0.0001544952392578,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.7141583084195795e-09
badges2_1121,1,1.0,0.0008916854858398,0.0001454353332519,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.29806802069474e-11
badges2_1121,0,1.0,0.0008802413940429,0.00014328956604,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.4057454578274486e-08
