Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_select_percentile,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,alpha,fit_prior
autoUniv-au6-400_1551,1,0.3375,0.0019383430480957,0.0001676082611083,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2089588450483666,False
autoUniv-au6-400_1551,3,0.3375,0.0020680427551269,0.0001678466796875,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.1689916434129373,True
autoUniv-au6-400_1551,0,0.3375,0.0014803409576416,0.0001041889190673,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2181685666197054,False
autoUniv-au6-400_1551,1,0.3375,0.0019726753234863,0.0001649856567382,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.127433998691685,False
autoUniv-au6-400_1551,1,0.3375,0.0020315647125244,0.0001702308654785,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.489225345324906,True
autoUniv-au6-400_1551,3,0.3375,0.0020074844360351,0.000169038772583,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.872905372788993,True
autoUniv-au6-400_1551,1,0.3375,0.0022175312042236,0.0001749992370605,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.1803170888688278,False
analcatdata_marketing_986,0,0.6438356164383562,0.0031633377075195,0.0012669563293457,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5735868445009876,False
analcatdata_marketing_986,0,0.6438356164383562,0.0011963844299316,8.749961853027344e-05,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.299858384446387,True
analcatdata_marketing_986,0,0.6438356164383562,0.0011773109436035,8.58306884765625e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0459322559396442,True
analcatdata_marketing_986,0,0.6438356164383562,0.0011754035949707,8.797645568847656e-05,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5561129933049777,True
analcatdata_marketing_986,0,0.6438356164383562,0.0015130043029785,0.0001113414764404,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1554312534467449,False
analcatdata_marketing_986,0,0.6438356164383562,0.0013642311096191,0.000140905380249,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.3214152864991515,False
analcatdata_marketing_986,0,0.6438356164383562,0.0014271736145019,0.0001020431518554,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5698519118425784,True
analcatdata_marketing_986,0,0.6438356164383562,0.0014281272888183,9.918212890625e-05,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6933955163199107,False
analcatdata_marketing_986,0,0.6438356164383562,0.0011811256408691,8.606910705566406e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.1455221526065005,False
analcatdata_marketing_986,0,0.6438356164383562,0.0012018680572509,8.988380432128906e-05,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.251506356232537,False
analcatdata_marketing_986,0,0.6438356164383562,0.0013062953948974,8.940696716308594e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5366042196785114,True
analcatdata_marketing_986,0,0.6438356164383562,0.0014264583587646,9.1552734375e-05,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1275229597907735,False
analcatdata_marketing_986,0,0.6438356164383562,0.001260757446289,0.0001258850097656,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.9882271602203705,False
analcatdata_marketing_986,0,0.6438356164383562,0.0011932849884033,9.226799011230467e-05,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.7590173311502647,False
analcatdata_marketing_986,0,0.6438356164383562,0.0013222694396972,9.202957153320312e-05,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8799691736749902,True
analcatdata_marketing_986,0,0.6438356164383562,0.0013477802276611,8.988380432128906e-05,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.495219702214367,True
analcatdata_marketing_986,0,0.6438356164383562,0.0011868476867675,8.58306884765625e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.09377310164764,False
analcatdata_marketing_986,0,0.6438356164383562,0.0014925003051757,0.0001435279846191,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.649225731226919,False
analcatdata_marketing_986,0,0.6438356164383562,0.0018641948699951,0.0001225471496582,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3653627890216894,True
analcatdata_marketing_986,0,0.6438356164383562,0.0012333393096923,8.988380432128906e-05,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.2268838017482003,False
badges2_1121,4,1.0,0.0012924671173095,0.0001003742218017,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.1137854189438089,True
badges2_1121,0,1.0,0.0015978813171386,0.0001626014709472,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.1062021395694969,True
badges2_1121,0,1.0,0.0013437271118164,0.0001275539398193,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.99391755476911,True
badges2_1121,3,1.0,0.0012569427490234,0.0001025199890136,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9.751629705150052,True
badges2_1121,0,1.0,0.0013413429260253,0.0001025199890136,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5191443452165729,True
badges2_1121,3,1.0,0.0013520717620849,0.000124454498291,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.2667134660816034,False
badges2_1121,4,1.0,0.0015196800231933,0.0001342296600341,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6290830599762611,False
badges2_1121,3,1.0,0.0014500617980957,0.0001335144042968,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.1608782512840744,True
badges2_1121,2,1.0,0.0013730525970458,0.0001440048217773,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.8173327684537883,False
badges2_1121,3,1.0,0.0014758110046386,0.0001473426818847,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.2818536002586315,True
badges2_1121,4,1.0,0.001429796218872,0.0001254081726074,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.4313671070677836,True
badges2_1121,0,1.0,0.0014476776123046,0.0001289844512939,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.139227407619643,False
badges2_1121,0,1.0,0.0014407634735107,0.0001256465911865,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.374662328673412,True
badges2_1121,0,1.0,0.0014126300811767,0.0001351833343505,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.186053410443944,True
badges2_1121,0,1.0,0.001575231552124,0.0001358985900878,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.1552553486232154,False
badges2_1121,3,1.0,0.0014123916625976,0.0001239776611328,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.0340938952908174,True
