Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,kernel,degree,gamma,coef0,shrinking,tol,random_state
autoUniv-au6-1000_1555,3,0.32,0.085435152053833,0.0119938850402832,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6480119772896222,rbf,4,auto,-0.2287583518918448,True,0.0003773666734241,0
autoUniv-au6-1000_1555,3,0.32,0.0537946224212646,0.0078635215759277,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.1282296222372406,linear,2,auto,0.2097381719979107,True,0.0003044944101642,0
autoUniv-au6-1000_1555,3,0.32,0.0526187419891357,0.0106127262115478,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.612560684354484,poly,4,scale,-0.3070651974689096,True,0.0001058981615666,0
autoUniv-au6-1000_1555,3,0.32,0.2763793468475342,0.0854513645172119,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.3325678004730571,rbf,3,auto,-0.3937399023505095,True,0.0018023765940515,0
analcatdata_creditscore_461,0,1.0,0.0010130405426025,0.0001535415649414,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2202754831549236,poly,2,scale,0.399547709188409,False,0.0051796923848975,0
analcatdata_creditscore_461,1,1.0,0.0010936260223388,0.0001883506774902,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.4224981654685332,rbf,2,auto,0.5163212846204372,False,0.0003927106865195,0
analcatdata_creditscore_461,4,1.0,0.0010783672332763,0.0001564025878906,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9818752107846356,rbf,5,auto,-0.4831303039333646,True,0.0051720363971289,0
analcatdata_creditscore_461,4,1.0,0.0009372234344482,0.0001349449157714,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.402993028459775,rbf,2,scale,0.2727646793455072,False,0.0015024429942518,0
analcatdata_creditscore_461,1,1.0,0.0018622875213623,0.0008354187011718,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2697943762227215,rbf,3,scale,0.0342795936647633,False,0.0025045219079834,0
analcatdata_creditscore_461,3,1.0,0.0008792877197265,0.0001349449157714,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0565743007233404,poly,2,scale,-0.1294973334010387,True,0.0032452877004999,0
analcatdata_creditscore_461,1,1.0,0.0009665489196777,0.0001578330993652,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.7853971677441277,sigmoid,3,scale,-0.0807701154426481,False,0.0043263132381252,0
analcatdata_creditscore_461,3,1.0,0.0010950565338134,0.0001554489135742,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.97888614171168,rbf,2,auto,0.4023214529093289,True,0.0002872092914161,0
analcatdata_creditscore_461,4,1.0,0.000840425491333,0.0001330375671386,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5614364624645062,linear,3,auto,0.0121386191042277,True,0.0003650575526266,0
analcatdata_creditscore_461,0,1.0,0.0013833045959472,0.000223159790039,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3259883688230344,poly,2,auto,-0.0537753712411563,False,0.0025989382156898,0
analcatdata_creditscore_461,1,1.0,0.0009562969207763,0.0001351833343505,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4992478515987383,rbf,2,scale,-0.0706230453482892,True,0.0002048188072999,0
analcatdata_creditscore_461,4,1.0,0.0008289813995361,0.0001637935638427,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24394370893899,rbf,4,auto,0.160264593098623,True,0.007405647774652,0
