Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,penalty,loss,C,tol,max_iter,random_state
analcatdata_creditscore_461,4,1.0,0.0007603168487548,0.0001013278961181,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,l2,hinge,0.2079384892120258,3.436923678771031e-05,1689,0
analcatdata_creditscore_461,3,1.0,0.0009272098541259,0.000112771987915,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,l2,squared_hinge,2.595158630571433,0.0002776712233573,853,0
analcatdata_creditscore_461,1,1.0,0.0009698867797851,0.0001134872436523,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,l1,squared_hinge,2.3892359215731904,0.0002022986157721,1003,0
analcatdata_creditscore_461,0,1.0,0.0008442401885986,0.0001027584075927,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,l1,squared_hinge,0.9668376006615252,0.0002094760627159,550,0
analcatdata_creditscore_461,1,1.0,0.0009539127349853,0.000108003616333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,l2,squared_hinge,3.652736824299011,0.0002471669730609,1174,0
analcatdata_creditscore_461,0,1.0,0.0009615421295166,0.0001091957092285,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,l2,squared_hinge,4.028876637397227,7.222496719561859e-05,1327,0
sa-heart_1498,2,0.8260869565217391,0.0012037754058837,0.0001196861267089,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l2,hinge,0.7662302857966232,0.0007512545231401,742,0
sa-heart_1498,2,0.8260869565217391,0.0010526180267333,0.0001215934753417,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l2,squared_hinge,2.005902282169824,5.398743083202475e-05,448,0
sa-heart_1498,2,0.8260869565217391,0.0010693073272705,0.0001215934753417,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l1,squared_hinge,6.671286022263613,0.0006370511062464,885,0
sa-heart_1498,2,0.8260869565217391,0.0010974407196044,0.0001182556152343,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l1,hinge,0.1455127781252937,1.320055676308022e-05,1569,0
sa-heart_1498,2,0.8260869565217391,0.0011208057403564,0.0001223087310791,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l2,squared_hinge,0.1057446337185148,0.0004993205193824,808,0
sa-heart_1498,2,0.8260869565217391,0.0010781288146972,0.0001239776611328,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l1,squared_hinge,0.8845516272676441,4.041740358850104e-05,1760,0
sa-heart_1498,2,0.8152173913043478,0.0010707378387451,0.0001425743103027,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,l2,squared_hinge,0.4607646853781057,0.0002086998553901,832,0
sa-heart_1498,2,0.8152173913043478,0.0014443397521972,0.0001187324523925,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,l2,squared_hinge,0.149284006903985,1.2881276494857104e-05,453,0
sa-heart_1498,2,0.8152173913043478,0.0011141300201416,0.0001211166381835,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,l2,hinge,0.1993138239125339,1.4457511860531154e-05,847,0
sa-heart_1498,2,0.8152173913043478,0.001082420349121,0.0001187324523925,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,l2,hinge,0.3273388740008955,1.3001131967780726e-05,439,0
sa-heart_1498,2,0.8152173913043478,0.0011148452758789,0.0001223087310791,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,l2,hinge,0.1580491557443834,9.328232233413283e-05,784,0
sa-heart_1498,2,0.8152173913043478,0.0011110305786132,0.0001249313354492,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,l2,hinge,0.43466954740897,6.798015591365025e-05,1115,0
sa-heart_1498,2,0.8043478260869565,0.0040869712829589,0.0001611709594726,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,l2,hinge,0.1843316248438148,4.3481992203996494e-05,861,0
sa-heart_1498,2,0.8043478260869565,0.0030252933502197,0.0001232624053955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,l2,hinge,1.775775017461936,7.796744713881748e-05,1330,0
sa-heart_1498,2,0.8043478260869565,0.0074672698974609,0.0001935958862304,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,l2,squared_hinge,2.473131835371216,4.237988378863551e-05,839,0
sa-heart_1498,2,0.8043478260869565,0.0058801174163818,0.0001242160797119,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,l2,hinge,3.5561496488103885,0.0005533101842971,552,0
sa-heart_1498,2,0.8043478260869565,0.0035498142242431,0.000124454498291,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,l2,squared_hinge,5.48948950564506,0.0001335385951802,1044,0
sa-heart_1498,2,0.8043478260869565,0.0074784755706787,0.0001378059387207,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,l2,squared_hinge,0.1014368312663354,4.172952037699847e-05,955,0
sa-heart_1498,2,0.8043478260869565,0.0040540695190429,0.0001230239868164,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,l2,hinge,0.2253192792511257,8.116574740413268e-05,993,0
sa-heart_1498,2,0.8043478260869565,0.0010275840759277,0.0001177787780761,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,l2,squared_hinge,4.259084337221131,0.0005423840511627,618,0
autoUniv-au6-400_1551,2,0.4,0.0017397403717041,0.0001425743103027,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,l2,hinge,0.1150741311477781,6.580263292150545e-05,1080,0
autoUniv-au6-400_1551,2,0.4,0.0015487670898437,0.0001211166381835,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,l1,squared_hinge,2.142311276985071,7.150656249327142e-05,1417,0
autoUniv-au6-400_1551,2,0.3875,0.0014882087707519,0.0001311302185058,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l1,squared_hinge,0.2298865513485307,4.735803154974674e-05,606,0
autoUniv-au6-400_1551,2,0.3875,0.0014340877532958,0.0001306533813476,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l2,hinge,1.0300413595033329,3.318423453064185e-05,427,0
autoUniv-au6-400_1551,2,0.3875,0.0014159679412841,0.0001218318939208,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l2,hinge,8.406442144728173,8.780264695379025e-05,537,0
autoUniv-au6-400_1551,2,0.3875,0.0014524459838867,0.0001225471496582,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l1,hinge,1.9833379935790536,0.0002972870663705,991,0
autoUniv-au6-400_1551,3,0.375,0.0014522075653076,0.0001227855682373,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l2,squared_hinge,0.5450577432686241,5.444420718828614e-05,518,0
autoUniv-au6-400_1551,2,0.375,0.0014290809631347,0.0001254081726074,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,l1,squared_hinge,2.387855313755334,2.8416586803612293e-05,1098,0
autoUniv-au6-400_1551,3,0.375,0.0015070438385009,0.0001206398010253,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,l2,squared_hinge,0.1025944994050641,0.0002089306978129,1107,0
autoUniv-au6-400_1551,2,0.375,0.0014460086822509,0.0001399517059326,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,l2,squared_hinge,7.9615427969253085,0.0004141137293092,1110,0
autoUniv-au6-400_1551,3,0.375,0.0015029907226562,0.0001235008239746,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,l2,squared_hinge,0.4885309528180302,1.1056402504430036e-05,1777,0
autoUniv-au6-400_1551,2,0.375,0.0016875267028808,0.0001251697540283,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,l1,squared_hinge,9.124994679320706,0.0001840066015872,440,0
autoUniv-au6-400_1551,2,0.375,0.0015900135040283,0.0001225471496582,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,l2,hinge,2.2533493517630703,0.0006336557541513,488,0
autoUniv-au6-400_1551,2,0.375,0.0014350414276123,0.0001227855682373,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,l1,hinge,0.3755794151799121,1.5025111402224072e-05,1384,0
autoUniv-au6-400_1551,2,0.375,0.0014448165893554,0.0001235008239746,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,l2,squared_hinge,1.7003321653044805,0.0006288056491177,1160,0
autoUniv-au6-400_1551,3,0.375,0.0014886856079101,0.0001232624053955,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,l2,hinge,0.576101447895106,1.719956533408195e-05,1344,0
autoUniv-au6-400_1551,2,0.3625,0.0014684200286865,0.0001239776611328,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,l1,squared_hinge,1.930165757013963,0.0009855198440363,388,0
autoUniv-au6-400_1551,2,0.3625,0.0014054775238037,0.0001227855682373,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,l2,hinge,3.813478627151458,0.0001055614848104,592,0
autoUniv-au6-400_1551,2,0.35,0.0017094612121582,0.0001254081726074,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,l2,hinge,0.8741618478155156,0.0002883754174901,1294,0
autoUniv-au6-400_1551,2,0.35,0.0016148090362548,0.0001287460327148,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,l1,hinge,0.2781213968527221,1.3352424338989328e-05,950,0
