Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,random_state
analcatdata_creditscore_461,0,1.0,0.0938167572021484,0.0038371086120605,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,184,gini,,2,1,sqrt,False,0
analcatdata_creditscore_461,4,1.0,0.0949828624725341,0.0039534568786621,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135,gini,10.0,2,1,sqrt,True,0
analcatdata_creditscore_461,3,1.0,0.0983045101165771,0.0040602684020996,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,102,gini,5.0,2,1,sqrt,False,0
analcatdata_creditscore_461,0,1.0,0.0964610576629638,0.0039632320404052,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,223,entropy,,2,1,sqrt,False,0
analcatdata_creditscore_461,1,1.0,0.0933876037597656,0.0038149356842041,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,69,entropy,,2,1,,True,0
analcatdata_creditscore_461,3,1.0,0.0935406684875488,0.003791332244873,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,125,gini,,2,1,,False,0
analcatdata_creditscore_461,4,1.0,0.0955424308776855,0.0039820671081542,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,110,gini,1.0,2,2,log2,False,0
analcatdata_creditscore_461,1,1.0,0.0985112190246582,0.0038316249847412,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,119,gini,17.0,2,1,log2,True,0
sa-heart_1498,2,0.8260869565217391,0.1759905815124511,0.0048699378967285,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115,log_loss,5.0,4,1,,True,0
sa-heart_1498,2,0.8260869565217391,0.1991915702819824,0.0056259632110595,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,238,gini,,6,1,sqrt,False,0
