Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,learning_rate,max_iter,max_depth,min_samples_leaf,l2_regularization,max_bins,random_state
sa-heart_1498,0,0.7849462365591398,0.1800918579101562,0.0019550323486328,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0110973513663616,115,,11,0.0666513570711911,255,0
autoUniv-au6-400_1551,0,0.475,1.0489699840545654,0.0129086971282958,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6188125237362573,126,,29,0.385055859359562,251,0
autoUniv-au6-400_1551,0,0.475,1.1137382984161377,0.0131165981292724,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0721260978553173,13,,1,0.0578518574245577,218,0
autoUniv-au6-400_1551,0,0.45,1.0281341075897217,0.0122022628784179,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1593495705310587,112,14.0,19,0.185374476326001,229,0
autoUniv-au6-400_1551,0,0.45,0.9845714569091796,0.0126712322235107,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0244969575919803,154,14.0,17,0.3444981039924744,242,0
autoUniv-au6-400_1551,0,0.425,1.0430238246917725,0.0133876800537109,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0192269959955296,123,18.0,1,0.0022718184422142,255,0
autoUniv-au6-400_1551,0,0.425,1.127279281616211,0.0156173706054687,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.014915417889343,82,25.0,37,0.0111287926600124,255,0
autoUniv-au6-400_1551,4,0.4125,7.612688779830933,0.0170686244964599,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.3958497823035338,29,18.0,10,0.0427501796828416,218,0
autoUniv-au6-400_1551,0,0.4125,0.995002508163452,0.0147709846496582,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1963005093769064,125,25.0,25,0.2041114980255677,255,0
autoUniv-au6-400_1551,4,0.4125,6.781570672988892,0.0136580467224121,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1747103033965708,194,,15,0.181985310634786,233,0
autoUniv-au6-400_1551,0,0.4125,0.9814445972442628,0.0135028362274169,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6899148538146646,133,5.0,12,0.0456866341087004,255,0
autoUniv-au6-400_1551,1,0.4,1.032245397567749,0.0128917694091796,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0207694252462054,158,14.0,18,0.022302359693541,227,0
autoUniv-au6-400_1551,0,0.4,1.009774923324585,0.0139498710632324,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0219047703114749,147,27.0,16,0.1621110178136831,255,0
autoUniv-au6-400_1551,1,0.4,9.308804035186768,0.015233039855957,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0239297575825225,80,11.0,18,0.0908606801680134,255,0
autoUniv-au6-400_1551,4,0.4,0.9919648170471193,0.0129251480102539,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0702649692490784,105,4.0,12,0.0032110536508115,232,0
autoUniv-au6-400_1551,4,0.4,0.928678035736084,0.0124514102935791,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.560329477285733,143,,10,0.1630742924619679,255,0
