Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
analcatdata_marketing_986,0,0.684931506849315,0.0018670558929443,0.0002357959747314,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
analcatdata_marketing_986,0,0.684931506849315,0.0017931461334228,0.0002655982971191,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
analcatdata_marketing_986,0,0.684931506849315,0.0013508796691894,0.0001921653747558,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
analcatdata_marketing_986,0,0.684931506849315,0.0013904571533203,0.0001895427703857,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
analcatdata_marketing_986,0,0.684931506849315,0.0018222332000732,0.0002443790435791,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
analcatdata_marketing_986,0,0.684931506849315,0.0017659664154052,0.0002627372741699,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
analcatdata_marketing_986,0,0.684931506849315,0.0015192031860351,0.0002040863037109,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
analcatdata_marketing_986,0,0.684931506849315,0.0016274452209472,0.0002667903900146,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_marketing_986,0,0.684931506849315,0.0017042160034179,0.0002591609954833,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
analcatdata_marketing_986,0,0.684931506849315,0.0025050640106201,0.0012731552124023,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
badges2_1121,2,1.0,0.0009078979492187,0.0001602172851562,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,3,1.0,0.0008690357208251,0.0002038478851318,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,4,1.0,0.0008473396301269,0.0001664161682128,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,0,1.0,0.0008528232574462,0.0001885890960693,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,1,1.0,0.0008563995361328,0.0001804828643798,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,2,1.0,0.000849962234497,0.0001595020294189,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,3,1.0,0.0008714199066162,0.0001797676086425,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,4,1.0,0.0009393692016601,0.0001623630523681,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,4,1.0,0.1930017471313476,0.0004215240478515,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,0,1.0,0.0997674465179443,0.0003426074981689,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
badges2_1121,1,1.0,0.075944185256958,0.0004036426544189,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
badges2_1121,2,1.0,0.067141056060791,0.0003645420074462,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
badges2_1121,3,1.0,0.0648984909057617,0.0004079341888427,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
badges2_1121,4,1.0,0.0682625770568847,0.0003840923309326,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
badges2_1121,0,1.0,0.2016692161560058,0.0005083084106445,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,2,1.0,0.0011870861053466,0.0002157688140869,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,3,1.0,0.0012369155883789,0.000241994857788,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,4,1.0,0.0011806488037109,0.0001804828643798,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
badges2_1121,0,1.0,0.0010361671447753,0.0001857280731201,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
badges2_1121,1,1.0,0.0058901309967041,0.0003080368041992,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
sensory_826,0,0.7241379310344828,0.00616455078125,0.0004575252532958,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sensory_826,0,0.7241379310344828,0.0062649250030517,0.0004291534423828,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sensory_826,0,0.7241379310344828,0.0064303874969482,0.0005197525024414,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sensory_826,0,0.7241379310344828,0.0064175128936767,0.0004658699035644,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sensory_826,0,0.7241379310344828,0.1026308536529541,0.0005185604095458,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sensory_826,0,0.7241379310344828,0.0058989524841308,0.0004045963287353,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sensory_826,1,0.7130434782608696,0.0554969310760498,0.000525951385498,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
sensory_826,1,0.7130434782608696,0.0395953655242919,0.0005238056182861,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
sensory_826,1,0.7130434782608696,0.0116586685180664,0.0005514621734619,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
sensory_826,1,0.7130434782608696,0.0129203796386718,0.0006420612335205,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
sensory_826,1,0.7130434782608696,0.0466434955596923,0.0005824565887451,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
sensory_826,1,0.7130434782608696,0.0797398090362548,0.0005555152893066,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
sensory_826,1,0.7043478260869566,0.0110218524932861,0.0005536079406738,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sensory_826,1,0.7043478260869566,0.0404601097106933,0.0005550384521484,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sensory_826,1,0.7043478260869566,0.0107254981994628,0.0005569458007812,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sensory_826,1,0.7043478260869566,0.01031494140625,0.0005385875701904,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sensory_826,1,0.7043478260869566,0.0434739589691162,0.0108339786529541,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sensory_826,1,0.7043478260869566,0.043210744857788,0.0135271549224853,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
sensory_826,0,0.6896551724137931,0.0099549293518066,0.0004699230194091,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
