Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_select_percentile,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
badges2_1121,0,1.0,0.0014126300811767,0.0001351833343505,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
badges2_1121,0,1.0,0.001575231552124,0.0001358985900878,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
badges2_1121,3,1.0,0.0014123916625976,0.0001239776611328,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
badges2_1121,4,1.0,0.0014650821685791,0.0001418590545654,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
badges2_1121,3,1.0,0.0014998912811279,0.0001368522644042,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
badges2_1121,4,1.0,0.0015668869018554,0.0001370906829833,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
badges2_1121,0,1.0,0.0014021396636962,0.0001242160797119,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
sensory_826,3,0.7043478260869566,0.0016775131225585,0.0001537799835205,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,3,0.7043478260869566,0.0017907619476318,0.0001564025878906,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,3,0.7043478260869566,0.0019233226776123,0.0001590251922607,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,3,0.7043478260869566,0.0016913414001464,0.0001595020294189,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,3,0.7043478260869566,0.0017087459564208,0.0001559257507324,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,3,0.7043478260869566,0.0017862319946289,0.0001575946807861,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,0,0.6982758620689655,0.0017917156219482,0.0001552104949951,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,0,0.6982758620689655,0.0017433166503906,0.0001578330993652,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,0,0.6982758620689655,0.0017101764678955,0.0001592636108398,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,0,0.6982758620689655,0.0018439292907714,0.0001592636108398,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,0,0.6982758620689655,0.0020492076873779,0.0001578330993652,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,0,0.6982758620689655,0.0017585754394531,0.0001578330993652,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sensory_826,4,0.6956521739130435,0.0016951560974121,0.0001554489135742,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
